timestamp_unix,timestamp_iso,participant_full_id,accelerometers_std_g,missing_value_reason
1709435160000,2024-03-03T03:06:00Z,899-1-1-05,,device_not_recording
1709435220000,2024-03-03T03:07:00Z,899-1-1-05,,device_not_recording
1709435280000,2024-03-03T03:08:00Z,899-1-1-05,,device_not_recording
1709435340000,2024-03-03T03:09:00Z,899-1-1-05,,device_not_recording
1709435400000,2024-03-03T03:10:00Z,899-1-1-05,,device_not_recording
1709435460000,2024-03-03T03:11:00Z,899-1-1-05,,device_not_recording
1709435520000,2024-03-03T03:12:00Z,899-1-1-05,,device_not_recording
1709435580000,2024-03-03T03:13:00Z,899-1-1-05,,device_not_recording
1709435640000,2024-03-03T03:14:00Z,899-1-1-05,,device_not_recording
1709435700000,2024-03-03T03:15:00Z,899-1-1-05,,device_not_recording
1709435760000,2024-03-03T03:16:00Z,899-1-1-05,,device_not_recording
1709435820000,2024-03-03T03:17:00Z,899-1-1-05,,device_not_recording
1709435880000,2024-03-03T03:18:00Z,899-1-1-05,,device_not_recording
1709435940000,2024-03-03T03:19:00Z,899-1-1-05,,device_not_recording
1709436000000,2024-03-03T03:20:00Z,899-1-1-05,,device_not_recording
1709436060000,2024-03-03T03:21:00Z,899-1-1-05,,device_not_recording
1709436120000,2024-03-03T03:22:00Z,899-1-1-05,,device_not_recording
1709436180000,2024-03-03T03:23:00Z,899-1-1-05,,device_not_recording
1709436240000,2024-03-03T03:24:00Z,899-1-1-05,,device_not_recording
1709436300000,2024-03-03T03:25:00Z,899-1-1-05,,device_not_recording
1709436360000,2024-03-03T03:26:00Z,899-1-1-05,,device_not_recording
1709436420000,2024-03-03T03:27:00Z,899-1-1-05,,device_not_recording
1709436480000,2024-03-03T03:28:00Z,899-1-1-05,,device_not_recording
1709436540000,2024-03-03T03:29:00Z,899-1-1-05,,device_not_recording
1709436600000,2024-03-03T03:30:00Z,899-1-1-05,,device_not_recording
1709436660000,2024-03-03T03:31:00Z,899-1-1-05,,device_not_recording
1709436720000,2024-03-03T03:32:00Z,899-1-1-05,,device_not_recording
1709436780000,2024-03-03T03:33:00Z,899-1-1-05,,device_not_recording
1709436840000,2024-03-03T03:34:00Z,899-1-1-05,,device_not_recording
1709436900000,2024-03-03T03:35:00Z,899-1-1-05,,device_not_recording
1709436960000,2024-03-03T03:36:00Z,899-1-1-05,,device_not_recording
1709437020000,2024-03-03T03:37:00Z,899-1-1-05,,device_not_recording
1709437080000,2024-03-03T03:38:00Z,899-1-1-05,,device_not_recording
1709437140000,2024-03-03T03:39:00Z,899-1-1-05,,device_not_recording
1709437200000,2024-03-03T03:40:00Z,899-1-1-05,,device_not_recording
1709437260000,2024-03-03T03:41:00Z,899-1-1-05,,device_not_recording
1709437320000,2024-03-03T03:42:00Z,899-1-1-05,,device_not_recording
1709437380000,2024-03-03T03:43:00Z,899-1-1-05,,device_not_recording
1709437440000,2024-03-03T03:44:00Z,899-1-1-05,,device_not_recording
1709437500000,2024-03-03T03:45:00Z,899-1-1-05,,device_not_recording
1709437560000,2024-03-03T03:46:00Z,899-1-1-05,,device_not_recording
1709437620000,2024-03-03T03:47:00Z,899-1-1-05,,device_not_recording
1709437680000,2024-03-03T03:48:00Z,899-1-1-05,,device_not_recording
1709437740000,2024-03-03T03:49:00Z,899-1-1-05,,device_not_recording
1709437800000,2024-03-03T03:50:00Z,899-1-1-05,,device_not_recording
1709437860000,2024-03-03T03:51:00Z,899-1-1-05,,device_not_recording
1709437920000,2024-03-03T03:52:00Z,899-1-1-05,,device_not_recording
1709437980000,2024-03-03T03:53:00Z,899-1-1-05,,device_not_recording
1709438040000,2024-03-03T03:54:00Z,899-1-1-05,,device_not_recording
1709438100000,2024-03-03T03:55:00Z,899-1-1-05,,device_not_recording
1709438160000,2024-03-03T03:56:00Z,899-1-1-05,,device_not_recording
1709438220000,2024-03-03T03:57:00Z,899-1-1-05,,device_not_recording
1709438280000,2024-03-03T03:58:00Z,899-1-1-05,,device_not_recording
1709438340000,2024-03-03T03:59:00Z,899-1-1-05,,device_not_recording
1709438400000,2024-03-03T04:00:00Z,899-1-1-05,,device_not_recording
1709438460000,2024-03-03T04:01:00Z,899-1-1-05,,device_not_recording
1709438520000,2024-03-03T04:02:00Z,899-1-1-05,,device_not_recording
1709438580000,2024-03-03T04:03:00Z,899-1-1-05,,device_not_recording
1709438640000,2024-03-03T04:04:00Z,899-1-1-05,,device_not_recording
1709438700000,2024-03-03T04:05:00Z,899-1-1-05,,device_not_recording
1709438760000,2024-03-03T04:06:00Z,899-1-1-05,,device_not_recording
1709438820000,2024-03-03T04:07:00Z,899-1-1-05,,device_not_recording
1709438880000,2024-03-03T04:08:00Z,899-1-1-05,,device_not_recording
1709438940000,2024-03-03T04:09:00Z,899-1-1-05,,device_not_recording
1709439000000,2024-03-03T04:10:00Z,899-1-1-05,,device_not_recording
1709439060000,2024-03-03T04:11:00Z,899-1-1-05,,device_not_recording
1709439120000,2024-03-03T04:12:00Z,899-1-1-05,,device_not_recording
1709439180000,2024-03-03T04:13:00Z,899-1-1-05,,device_not_recording
1709439240000,2024-03-03T04:14:00Z,899-1-1-05,,device_not_recording
1709439300000,2024-03-03T04:15:00Z,899-1-1-05,,device_not_recording
1709439360000,2024-03-03T04:16:00Z,899-1-1-05,,device_not_recording
1709439420000,2024-03-03T04:17:00Z,899-1-1-05,,device_not_recording
1709439480000,2024-03-03T04:18:00Z,899-1-1-05,,device_not_recording
1709439540000,2024-03-03T04:19:00Z,899-1-1-05,,device_not_recording
1709439600000,2024-03-03T04:20:00Z,899-1-1-05,,device_not_recording
1709439660000,2024-03-03T04:21:00Z,899-1-1-05,,device_not_recording
